T,X,Y,Z
29.617923,-296,160,90
29.620118,-310,186,88
29.622042,-308,226,102
29.623970,-306,236,128
29.625954,-302,264,142
29.628041,-288,280,156
29.629947,-298,308,166
29.631791,-258,340,186
29.633631,-288,348,148
29.635499,-294,388,172
29.637347,-274,412,164
29.639219,-282,434,164
29.641108,-274,448,144
29.642997,-286,470,120
29.644931,-304,472,90
29.646767,-328,486,68
29.648577,-352,488,26
29.650382,-348,494,48
29.652188,-340,498,48
29.654046,-328,486,46
29.655945,-314,490,68
29.657818,-278,508,82
29.659687,-254,502,94
29.661509,-236,488,80
29.663417,-214,480,64
29.665368,-192,440,44
29.667403,-188,418,28
29.669516,-192,366,0
29.671585,-208,344,-46
29.673638,-236,324,-78
29.675706,-272,274,-100
29.677708,-282,256,-82
29.679684,-304,226,-110
29.681640,-326,214,-84
29.683586,-340,192,-74
29.685521,-358,162,-74
29.687449,-368,150,-84
29.689366,-356,114,-86
29.691254,-324,80,-82
29.693168,-272,46,-82
29.695186,-226,0,-108
29.697175,-168,-52,-136
29.699143,-118,-78,-186
29.701068,-36,-112,-208
29.702962,38,-170,-226
29.704973,104,-184,-232
29.706872,148,-220,-262
29.708790,216,-262,-276
29.710763,266,-300,-288
29.712744,328,-342,-300
29.715665,362,-370,-296
29.717593,396,-400,-264
29.719473,424,-416,-246
29.721292,452,-446,-238
29.723102,472,-456,-246
29.724989,458,-460,-246
29.726816,428,-480,-266
29.728654,432,-484,-236
29.730593,398,-484,-208
29.732583,372,-490,-188
29.734547,356,-512,-146
29.736525,322,-512,-108
29.738505,274,-512,-102
29.740486,206,-512,-62
29.742503,102,-460,-122
29.744466,-30,-408,-156
29.746342,-132,-360,-168
29.748188,-232,-342,-152
29.750119,-324,-284,-146
29.752130,-400,-260,-62
29.754110,-496,-150,18
29.756072,-512,-120,66
29.758017,-512,-120,136
29.759991,-512,-28,178
29.761954,-512,52,192
29.763970,-512,40,244
29.765948,-512,92,286
29.767936,-512,132,304
29.769936,-512,204,274
29.771918,-512,198,262
29.773872,-512,232,226
29.775899,-512,330,246
29.777891,-512,322,278
29.779879,-512,360,324
29.781816,-490,408,356
29.783758,-450,460,392
29.785730,-396,511,440
29.787699,-342,511,464
29.789667,-298,511,511
29.791615,-266,511,511
29.793579,-256,511,511
29.795600,-252,511,472
29.797562,-262,511,436
29.799485,-280,511,394
29.801404,-272,511,378
29.803318,-284,511,352
29.805301,-268,511,336
29.807216,-248,511,322
29.809128,-236,511,306
29.811038,-262,511,278
29.812979,-270,511,234
29.815072,-244,511,234
29.817051,-216,511,222
29.819010,-210,511,200
29.820963,-220,511,142
29.822862,-222,511,114
29.824767,-244,511,64
29.826641,-266,511,24
29.828538,-314,460,-36
29.830463,-352,428,-70
29.832392,-398,336,-76
29.834361,-420,298,-68
29.836347,-458,250,-48
29.838303,-482,210,-20
29.840217,-512,166,-20
29.842562,-512,126,-24
29.844639,-504,72,-42
29.846665,-464,10,-54
29.848584,-388,-20,-80
29.850472,-314,-114,-144
29.852399,-244,-162,-212
29.854370,-162,-256,-272
